file_name,subset,transcript
LA_T_1138215,train,The idea has potential for the future.
LA_T_1271820,train,Ferguson had a most productive afternoon.
LA_T_1272637,train,She was totally possessed.
LA_T_1276960,train,He must be seen to be impartial.
LA_T_1341447,train,This is a critical time for football.
LA_T_1363611,train,But who cares?
LA_T_1596451,train,We have other options.
LA_T_1608170,train,I've got the shirt.
LA_T_1684951,train,She died in hospital two hours later.
LA_T_1699801,train,I think my game is suited to grass.
LA_T_1703395,train,Industry leaders reacted angrily.
LA_T_1736342,train,Then there is the terrain.
LA_T_1779188,train,This makes up for it.
LA_T_1786825,train,We didn't make any of this up.
LA_T_1787246,train,There is nothing sinister in it.
LA_T_1905558,train,The racist abuse was terrible.
LA_T_2205687,train,There is no credible official announcement.
LA_T_2220901,train,Volvo is grateful to its staff in Irvine.
LA_T_2361751,train,I'm very puzzled by it.
LA_T_2373806,train,I was loving that little girl.
LA_T_2417641,train,This rule is archaic.
LA_T_2520083,train,Harold is a rarity.
LA_T_2562689,train,It is too pretty. It is too small.
LA_T_2564579,train,It's such a shock.
LA_T_2732709,train,Nobody wants to stop people enjoying themselves.
LA_T_2759900,train,"Last year, it was ligaments in his knee."
LA_T_2838981,train,He predicted the contest would be very close.
LA_T_2873890,train,If you could find it.
LA_T_2938316,train,That period was a struggle.
LA_T_3131990,train,"He wasn't really doing anything, so he wanted out."
LA_T_3141223,train,Ms Jackson was not at the meeting.
LA_T_3167734,train,No decision has yet been made.
LA_T_3187715,train,It all changes for her.
LA_T_3215578,train,People wouldn't have quite understood the language.
LA_T_3247389,train,It was not known to myself.
LA_T_3346004,train,"We didn't enjoy the first game, but today they were excellent."
LA_T_3441957,train,Five officers were injured.
LA_T_3561136,train,You can say he gets a sizeable amount.
LA_T_3576775,train,That's why the young musicians have joined.
LA_T_3580508,train,Europe will bear the brunt of the cuts.
LA_T_3635733,train,There are simply no orders.
LA_T_3636245,train,It is a vicious circle.
LA_T_3810183,train,It's a very high number.
LA_T_3849267,train,Of course he does!
LA_T_3995089,train,The Dutchman was suspended for two games.
LA_T_3999087,train,It's been a humbling year.
LA_T_3999267,train,The answer is mayhem.
LA_T_4053835,train,but we're not the same person.
LA_T_4118798,train,And that's our first victory in Edinburgh.
LA_T_4155454,train,"Over time, with patience and precision, the terrorists will be pursued."
LA_T_4179989,train,It is a very beautiful city.
LA_T_4197307,train,I was not happy about being left out.
LA_T_4237787,train,You did not change overnight.
LA_T_4239283,train,Scotland had great assets.
LA_T_4244329,train,Shiness has rarely sold in boxing terms.
LA_T_4339311,train,People want to see me on the screen.
LA_T_4362109,train,We are seeking funds from governments' departments.
LA_T_4428691,train,It was very well received.
LA_T_4752788,train,"However, who could have predicted this result?"
LA_T_4756464,train,My life would be a lot less restrictive.
LA_T_4822766,train,They were behind the wheel.
LA_T_5096578,train,I always loved the lightning in the movies.
LA_T_5161420,train,There is great interest on our island.
LA_T_5191549,train,Among them was Gary Robertson from Dundee.
LA_T_5337549,train,Maybe his time has gone.
LA_T_5387852,train,Hours later she was found dead by Ms Wilson.
LA_T_5521272,train,Detection is often difficult.
LA_T_5761909,train,He is indeed the grandson of travelling folk.
LA_T_5777819,train,"The way they play, it is hard to score against them."
LA_T_5785306,train,The early evidence suggests he did not.
LA_T_5954195,train,She was making a living but her career was going nowhere.
LA_T_6058143,train,That was the case with David.
LA_T_6074694,train,"Meantime, his appointment has been wildly welcomed."
LA_T_6105178,train,I thought it was a fantastic game!
LA_T_6200206,train,Millions of British jobs depend on Europe.
LA_T_6214695,train,But it wasn't to be.
LA_T_6324553,train,I'm just asking them to improve their disciplines.
LA_T_6335714,train,"I spoke with just one player, but not the others."
LA_T_6370865,train,I did not concentrate on my performance.
